area_id,total_poi_count,active_poi_count,competitor_count,complementary_count,commercial_other_count,unique_category_count,mean_data_quality_score,competitor_density_proxy,complementarity_ratio,commercial_activity_proxy,saturation_proxy,recent_refresh_share,station_entrance_count,pt_facility_count,bus_shelter_count,transit_access_raw,transit_access_score,sa2_code_2021,sa2_name_2021,market_fit_score,seifa_irsad_decile,sa2_population,sal_name_2021,sal_code_2021,commercial_activity_log,diversity_log,competition_log,saturation_log,n_complementarity,n_activity,n_diversity,n_competition,n_saturation,n_quality,n_transit,n_market_fit,score_complementarity,score_activity,score_diversity,score_competition,score_saturation,score_quality,score_transit_access,score_market_fit,opportunity_score,reasons_top3
88be0e35cbfffff,14895,14895,893,5113,1687,15502,1.0,0.05994897959183673,0.3432465091299678,14895,0.03937170162103509,,23,7,10,4.07753744390572,1.0,117031644,Sydney (North) - Millers Point,0.8475941061356048,10,8004,Sydney,13730,9.608847999516849,9.648788832566362,0.05822077450504034,0.03861639753467768,0.43533703596971524,1.0,1.0,0.14359009774401846,0.09523975494428026,0.0,1.0,0.8669143099347728,0.39180333237274373,1.1,0.6,-0.1579491075184203,-0.07619180395542421,0.0,0.6,0.4334571549673864,2.8911195758662855,High commercial activity; High category diversity; Strong transit access
88be0e3435fffff,7857,7857,559,2302,1363,8204,1.0,0.07113769406973784,0.29294986001527107,7857,0.05029791655019896,,16,4,3,3.6506582412937387,0.8837497838889209,117031645,Sydney (South) - Haymarket,0.6817946356624841,9,19935,Sydney,13730,8.969287400118406,9.01249900352419,0.06872134909317101,0.04907385397348259,0.3715461639218072,0.9282658074350605,0.9340549534160618,0.16948770120766712,0.12103101596695552,0.0,0.8837497838889209,0.6973355782136718,0.3343915475296265,1.0210923881785665,0.560432972049637,-0.18643647132843386,-0.09682481277356442,0.0,0.5302498703333525,0.3486677891068359,2.51157328309602,High commercial activity; High category diversity; Strong transit access
88be0e3431fffff,4213,4213,379,1325,804,4538,1.0,0.08993830090175606,0.3144280968201234,4213,0.06165917211798131,,19,5,0,3.784189633918261,0.9201138258830773,117031645,Sydney (South) - Haymarket,0.6817946356624841,9,19935,Haymarket,11884,8.346167594364134,8.420462002456466,0.08612108996165911,0.05983294110156955,0.39878685450357115,0.8583756419385501,0.8726962677466754,0.21240074235607204,0.1475661898029661,0.0,0.9201138258830773,0.6973355782136718,0.35890816905321404,0.9442132061324052,0.5236177606480052,-0.23364081659167926,-0.11805295184237288,0.0,0.5520682955298464,0.3486677891068359,2.3757814520362546,High commercial activity; Strong transit access; High category diversity
88be0e35c1fffff,3386,3386,227,934,499,3560,1.0,0.06702096250369058,0.27576025981694713,3386,0.048539244470490996,,10,1,0,3.091042453358316,0.7313519723098968,117031644,Sydney (North) - Millers Point,0.8475941061356048,10,8004,Sydney,13730,8.127699852817772,8.177796683277778,0.0648706183344021,0.04739799981578953,0.3497447197678354,0.8338719325855122,0.8475464460032821,0.15999063060463592,0.11689785105539918,0.0,0.7313519723098968,0.8669143099347728,0.31477024779105184,0.9172591258440634,0.5085278676019692,-0.17598969366509953,-0.09351828084431935,0.0,0.43881118338593805,0.4334571549673864,2.34331760508099,High commercial activity; High category diversity; Strong transit access
88be08536dfffff,3658,3658,306,1136,529,3830,1.0,0.08362940694178737,0.31046734080349825,3658,0.057665207355597034,,9,3,0,3.091042453358316,0.7313519723098968,125041717,Parramatta - North,0.7246690457004719,9,12062,Parramatta,13167,8.204945165019208,8.25088114470065,0.08031596904974155,0.056063844186264575,0.39376345662882706,0.8425358967280946,0.8551209159902506,0.1980835525514959,0.1382704530307171,0.0,0.7313519723098968,0.7411872748251582,0.3543871109659444,0.9267894864009041,0.5130725495941504,-0.2178919078066455,-0.11061636242457369,0.0,0.43881118338593805,0.3705936374125791,2.2751456975282967,High commercial activity; High category diversity; Strong transit access
88be0e3467fffff,1880,1880,121,716,208,2027,1.0,0.06432748538011696,0.38064859117490696,1880,0.03984131869635102,,3,1,0,2.0794415416798357,0.4558669548126133,118011341,Bondi Junction - Waverly,0.8712731668009669,10,17720,Bondi Junction,10465,7.53955882930103,7.614805364711073,0.06234313057413551,0.039068123335461606,0.48277382295354054,0.7679050461388277,0.7891980534395948,0.15375707879037637,0.09635384785079842,0.0,0.4558669548126133,0.8911331151246851,0.4344964406581865,0.8446955507527105,0.4735188320637569,-0.169132786669414,-0.07708307828063875,0.0,0.27352017288756797,0.44556655756234254,2.2255816889745117,High commercial activity; High category diversity; Strong market fit
88be0e2747fffff,1867,1867,144,519,264,1964,1.0,0.07708779443254818,0.2778372591006424,1867,0.05566993291729523,,14,1,0,3.4011973816621555,0.8158151582009437,121011684,Chatswood - East,0.7974617244157935,9,19601,Chatswood,10891,7.532623618788788,7.583247524303362,0.07426091243084189,0.05417557290062133,0.35237896276179037,0.7671271812627996,0.7859274004120149,0.18314994544741836,0.13361340302102917,0.0,0.8158151582009437,0.8156392022040642,0.31714106648561136,0.8438398993890796,0.47155644024720894,-0.20146493999216022,-0.10689072241682335,0.0,0.48948909492056625,0.4078196011020321,2.2214904397355144,High commercial activity; Strong transit access; High category diversity
88be0e35a3fffff,842,842,40,302,29,819,1.0,0.04744958481613286,0.3582443653618031,842,0.0304510384169963,,6,1,0,2.6390573296152584,0.6082647663916374,121011401,St Leonards - Naremburn,0.8942500287786346,10,11903,St Leonards (NSW),13657,6.736966958001855,6.709304340258298,0.046358242602104555,0.02999660776644265,0.45435870728814054,0.6778849919000546,0.6953519718053331,0.11433349423925707,0.07398073759392527,0.0,0.6082647663916374,0.9146337155909293,0.4089228365593265,0.7456734910900601,0.4172111830831999,-0.12576684366318278,-0.05918459007514022,0.0,0.36495885983498244,0.45731685779546466,2.2091317946247107,High commercial activity; Strong market fit; High category diversity
88be0e2533fffff,1175,1175,79,439,139,1250,1.0,0.06717687074829932,0.37329931972789115,1175,0.04209979059651072,,6,1,0,2.6390573296152584,0.6082647663916374,121021577,Hornsby - East,0.6906469437089904,7,11943,Hornsby,11943,7.069874128458572,7.1316985104669115,0.06501672310731203,0.04123770707246745,0.4734527957524473,0.7152244200859889,0.7391288828289176,0.16035096931193343,0.10170469973329153,0.0,0.6082647663916374,0.7063896672710575,0.4261075161772026,0.7867468620945878,0.4434773296973506,-0.1763860662431268,-0.08136375978663324,0.0,0.36495885983498244,0.3531948336355287,2.1167355754098924,High commercial activity; High category diversity; Strong complements
88be0e2469fffff,1049,1049,102,487,127,1123,1.0,0.09714285714285714,0.4638095238095238,1049,0.052087074829931974,,4,1,0,2.302585092994046,0.5166346987208347,126021500,Macquarie Park - Marsfield,0.7640727523886265,9,23818,Macquarie Park,12446,6.956545443151569,7.024649030453636,0.0927093981042675,0.050775881641094436,0.5882462253193961,0.7025132841239072,0.7280342799859199,0.22864950953938992,0.1252287326966471,0.0,0.5166346987208347,0.7814891562860572,0.5294216027874565,0.772764612536298,0.4368205679915519,-0.25151446049332893,-0.10018298615731769,0.0,0.3099808192325008,0.3907445781430286,2.0880347340401895,High commercial activity; Strong complements; High category diversity
88be085111fffff,1064,1064,68,367,183,1156,1.0,0.06384976525821597,0.34460093896713617,1064,0.041847076197403514,,9,1,0,2.995732273553991,0.7053965522940152,116011303,Blacktown (East) - Kings Park,0.592327615977898,4,17032,Blacktown,10396,6.970730078143525,7.053585727193677,0.06189418288448083,0.040995172673560454,0.43705484942173367,0.7041042566430609,0.7310332778127118,0.15264983754895514,0.10110653630552183,0.0,0.7053965522940152,0.605829232109638,0.3933493644795603,0.774514682307367,0.43861996668762704,-0.16791482130385066,-0.08088522904441747,0.0,0.42323793137640914,0.302914616054819,2.0838365105575143,High commercial activity; High category diversity; Strong transit access
